documento_id,cliente_id,fecha_factura,fecha_vencimiento,monto_factura_cop,saldo_cop,estado,dias_mora,region,ciudad
72,39,2023-08-16,2023-09-15,15376364,12088391,En mora,473,Caribe,Valledupar
73,3,2023-07-24,2023-09-22,659575,0,Pagado,0,Pacífico,Cali
74,12,2024-10-30,2024-12-29,10439880,0,Pagado,0,Caribe,Sincelejo
75,15,2023-03-28,2023-04-27,13870192,0,Pagado,0,Santanderes,Cúcuta
76,193,2023-02-04,2023-05-05,17026218,0,Pagado,0,Llanos,Yopal
77,218,2022-03-31,2022-06-29,7623126,0,Pagado,0,Caribe,Sincelejo
78,152,2022-02-12,2022-04-13,12520953,0,Pagado,0,Santanderes,Cúcuta
79,27,2024-01-03,2024-02-02,899812,411224,En mora,333,Eje Cafetero,Pereira
80,218,2024-03-15,2024-04-14,13961437,6795433,En mora,261,Caribe,Sincelejo
81,77,2024-05-17,2024-06-16,13838016,0,Pagado,0,Llanos,Yopal
82,37,2022-08-05,2022-10-04,15634512,0,Pagado,0,Pacífico,Cali
83,30,2023-02-26,2023-05-27,14057095,10219317,En mora,584,Santanderes,Bucaramanga
84,40,2024-10-14,2024-12-13,12260706,0,Pagado,0,Pacífico,Buenaventura
85,49,2024-05-05,2024-06-04,40049964,0,Pagado,0,Caribe,Sincelejo
86,189,2022-03-25,2022-04-24,5396382,5045408,En mora,982,Eje Cafetero,Manizales
87,194,2022-10-26,2022-12-25,1228189,1185457,En mora,737,Caribe,Valledupar
88,121,2022-04-01,2022-05-31,41811420,29587583,En mora,945,Llanos,Villavicencio
89,54,2023-12-02,2024-03-01,9307036,0,Pagado,0,Caribe,Barranquilla
90,201,2023-06-27,2023-09-25,3346317,0,Pagado,0,Caribe,Valledupar
91,188,2023-10-05,2024-01-03,2128068,890041,En mora,363,Caribe,Sincelejo
92,206,2022-06-02,2022-08-01,23333639,0,Pagado,0,Eje Cafetero,Pereira
93,82,2023-07-04,2023-08-03,35142674,0,Pagado,0,Santanderes,Barrancabermeja
94,15,2022-07-06,2022-10-04,2639520,2487028,En mora,819,Santanderes,Cúcuta
95,62,2024-10-09,2025-01-07,16036610,16036610,Vigente,0,Caribe,Barranquilla
96,115,2023-08-26,2023-09-25,58464181,0,Pagado,0,Pacífico,Popayán
97,201,2022-07-02,2022-08-31,10490792,5681787,En mora,853,Caribe,Valledupar
98,151,2024-05-30,2024-06-29,15782276,0,Pagado,0,Eje Cafetero,Armenia
99,180,2023-08-30,2023-10-29,890760,0,Pagado,0,Caribe,Valledupar
100,179,2024-01-24,2024-04-23,30288888,20456524,En mora,252,Pacífico,Buenaventura
101,14,2022-04-04,2022-06-03,42526044,0,Pagado,0,Pacífico,Pasto
102,200,2024-11-12,2024-12-12,89490,0,Pagado,0,Llanos,Yopal
103,66,2024-06-30,2024-08-29,20618688,10575356,En mora,124,Santanderes,Barrancabermeja
104,12,2022-05-30,2022-08-28,3997155,0,Pagado,0,Caribe,Sincelejo
105,77,2023-04-30,2023-05-30,39458064,0,Pagado,0,Llanos,Yopal
106,144,2022-11-18,2023-02-16,11561022,0,Pagado,0,Llanos,Arauca
107,106,2023-08-15,2023-09-14,23038847,0,Pagado,0,Caribe,Cartagena
108,220,2022-11-26,2023-01-25,24757440,19266827,En mora,706,Santanderes,Cúcuta
109,93,2022-11-25,2022-12-25,10873320,9772310,En mora,737,Caribe,Santa Marta
110,185,2023-11-19,2024-02-17,12618072,0,Pagado,0,Caribe,Sincelejo
111,181,2022-05-10,2022-06-09,29473416,0,Pagado,0,Eje Cafetero,Manizales
112,32,2022-01-11,2022-04-11,13826592,8575473,En mora,995,Santanderes,Bucaramanga
113,55,2024-02-08,2024-05-08,1884703,0,Pagado,0,Caribe,Cartagena
114,99,2023-03-28,2023-05-27,3000000,0,Pagado,0,Pacífico,Popayán
115,158,2022-07-15,2022-10-13,16954535,0,Pagado,0,Pacífico,Pasto
116,112,2024-11-24,2024-12-24,7616917,0,Pagado,0,Caribe,Sincelejo
117,169,2022-11-09,2022-12-09,17649279,16775062,En mora,753,Pacífico,Pasto
118,65,2022-08-11,2022-11-09,21035520,0,Pagado,0,Eje Cafetero,Pereira
119,27,2024-09-25,2024-10-25,5412771,0,Pagado,0,Eje Cafetero,Pereira
120,63,2023-10-26,2023-12-25,36389184,0,Pagado,0,Llanos,Villavicencio
121,215,2022-08-27,2022-11-25,16211304,10224741,En mora,767,Caribe,Barranquilla
122,52,2024-03-20,2024-06-18,40833835,0,Pagado,0,Eje Cafetero,Pereira
123,116,2023-11-19,2024-02-17,12618072,0,Pagado,0,Llanos,Arauca
124,128,2024-11-14,2025-01-13,25111482,25111482,Vigente,0,Llanos,Arauca
125,3,2023-01-02,2023-04-02,5159484,3130392,En mora,639,Pacífico,Cali
126,82,2022-01-04,2022-04-04,22796997,0,Pagado,0,Santanderes,Barrancabermeja
127,93,2023-08-20,2023-11-18,46857018,0,Pagado,0,Caribe,Santa Marta
128,74,2023-11-26,2024-02-24,10094454,0,Pagado,0,Santanderes,Barrancabermeja
129,157,2024-11-28,2025-01-27,9423544,9423544,Vigente,0,Santanderes,Bucaramanga
130,144,2022-10-27,2023-01-25,47147004,0,Pagado,0,Llanos,Arauca
131,95,2024-11-26,2024-12-26,1351584,882017,En mora,5,Pacífico,Cali
132,61,2024-12-16,2025-02-14,5489704,5489704,Vigente,0,Eje Cafetero,Pereira
133,109,2022-04-23,2022-06-22,8536686,0,Pagado,0,Pacífico,Pasto
134,94,2023-02-20,2023-04-21,17634842,0,Pagado,0,Caribe,Cartagena
135,181,2023-02-26,2023-04-27,36134112,15061672,En mora,614,Eje Cafetero,Manizales
136,156,2022-07-15,2022-09-13,36306534,19963166,En mora,840,Pacífico,Pasto
137,57,2023-07-01,2023-07-31,4368128,2308736,En mora,519,Eje Cafetero,Manizales
138,49,2023-08-15,2023-11-13,5699001,0,Pagado,0,Caribe,Sincelejo
139,48,2024-10-15,2024-11-14,16989125,10030340,En mora,47,Llanos,Arauca
140,206,2023-01-06,2023-02-05,7318476,5035632,En mora,695,Eje Cafetero,Pereira
141,17,2022-06-29,2022-09-27,36306534,0,Pagado,0,Eje Cafetero,Pereira
142,27,2024-10-14,2025-01-12,12190200,12190200,Vigente,0,Eje Cafetero,Pereira
143,156,2023-04-09,2023-05-09,1044818,0,Pagado,0,Pacífico,Pasto
144,53,2022-09-24,2022-11-23,50892800,0,Pagado,0,Santanderes,Cúcuta
145,106,2023-05-16,2023-07-15,32793984,18619285,En mora,535,Caribe,Cartagena
146,189,2024-04-12,2024-07-11,2258424,0,Pagado,0,Eje Cafetero,Manizales
147,197,2024-01-28,2024-02-27,2630478,0,Pagado,0,Santanderes,Barrancabermeja
148,95,2024-10-07,2024-11-06,12749357,0,Pagado,0,Pacífico,Cali
149,85,2022-11-30,2023-01-29,24622834,0,Pagado,0,Pacífico,Popayán
150,182,2023-04-21,2023-07-20,449420,0,Pagado,0,Santanderes,Cúcuta
151,129,2023-10-23,2023-12-22,11140848,0,Pagado,0,Pacífico,Pasto
152,203,2023-07-14,2023-08-13,31350676,0,Pagado,0,Caribe,Santa Marta
153,156,2024-10-15,2024-11-14,2241477,0,Pagado,0,Pacífico,Pasto
154,111,2022-01-15,2022-02-14,12691617,0,Pagado,0,Pacífico,Cali
155,54,2023-11-01,2023-12-31,40845360,16835548,En mora,366,Caribe,Barranquilla
156,2,2024-12-07,2025-02-05,45326400,45326400,Vigente,0,Llanos,Villavicencio
157,149,2024-08-22,2024-09-21,11628936,8816014,En mora,101,Santanderes,Barrancabermeja
158,80,2023-09-11,2023-11-10,29925450,0,Pagado,0,Pacífico,Pasto
159,218,2024-02-06,2024-05-06,33544925,0,Pagado,0,Caribe,Sincelejo
160,165,2023-08-25,2023-11-23,14471509,13468182,En mora,404,Santanderes,Cúcuta
161,150,2024-09-18,2024-11-17,467535,369078,En mora,44,Santanderes,Barrancabermeja
162,152,2022-02-16,2022-05-17,16389122,0,Pagado,0,Santanderes,Cúcuta
163,200,2024-05-18,2024-07-17,9233370,4231869,En mora,167,Llanos,Yopal
164,184,2022-09-03,2022-11-02,26324904,21191470,En mora,790,Eje Cafetero,Pereira
165,17,2023-04-02,2023-06-01,3925628,3114171,En mora,579,Eje Cafetero,Pereira
166,130,2022-04-23,2022-07-22,1739900,745492,En mora,893,Eje Cafetero,Pereira
167,93,2024-03-29,2024-05-28,1232224,0,Pagado,0,Caribe,Santa Marta
168,60,2024-09-20,2024-10-20,22293495,0,Pagado,0,Caribe,Valledupar
169,151,2022-05-11,2022-07-10,38807196,0,Pagado,0,Eje Cafetero,Armenia
170,75,2023-01-23,2023-03-24,62523034,27149955,En mora,648,Eje Cafetero,Pereira
171,199,2023-08-03,2023-10-02,13178064,9384729,En mora,456,Pacífico,Popayán
172,61,2023-05-22,2023-07-21,20729950,0,Pagado,0,Eje Cafetero,Pereira
173,91,2023-07-17,2023-10-15,28674272,0,Pagado,0,Llanos,Yopal
174,35,2024-04-22,2024-05-22,43374368,0,Pagado,0,Llanos,Villavicencio
175,131,2023-06-16,2023-08-15,18124228,0,Pagado,0,Santanderes,Bucaramanga
176,134,2024-02-20,2024-05-20,27852120,0,Pagado,0,Pacífico,Buenaventura
177,113,2023-04-02,2023-05-02,15924854,0,Pagado,0,Caribe,Sincelejo
178,36,2023-02-12,2023-05-13,36952844,22345932,En mora,598,Llanos,Arauca
179,64,2023-11-01,2023-12-31,18295488,0,Pagado,0,Caribe,Santa Marta
180,133,2023-10-22,2023-12-21,14455683,0,Pagado,0,Caribe,Valledupar
181,173,2024-09-24,2024-11-23,7489209,5500529,En mora,38,Santanderes,Barrancabermeja
182,127,2023-01-17,2023-04-17,40070940,20119489,En mora,624,Pacífico,Buenaventura
183,139,2022-12-23,2023-01-22,7255472,4148416,En mora,709,Llanos,Villavicencio
184,31,2024-06-09,2024-07-09,836494,820386,En mora,175,Eje Cafetero,Armenia
185,52,2023-09-02,2023-10-02,28035990,0,Pagado,0,Eje Cafetero,Pereira
186,20,2024-01-05,2024-04-04,43614480,20459216,En mora,271,Pacífico,Popayán
187,182,2024-10-03,2024-11-02,52233832,0,Pagado,0,Santanderes,Cúcuta
188,31,2024-01-06,2024-04-05,5481618,0,Pagado,0,Eje Cafetero,Armenia
189,33,2023-04-09,2023-06-08,4478668,3740244,En mora,572,Llanos,Villavicencio
190,151,2022-06-26,2022-09-24,3241926,1759072,En mora,829,Eje Cafetero,Armenia
191,105,2023-02-26,2023-05-27,1085913,0,Pagado,0,Eje Cafetero,Pereira
192,154,2024-11-16,2025-02-14,8037540,8037540,Vigente,0,Llanos,Villavicencio
193,61,2023-10-19,2024-01-17,16702590,0,Pagado,0,Eje Cafetero,Pereira
194,42,2022-12-26,2023-03-26,49257280,0,Pagado,0,Caribe,Barranquilla
195,70,2022-02-01,2022-05-02,16474044,0,Pagado,0,Pacífico,Buenaventura
196,20,2024-03-07,2024-04-06,11900384,0,Pagado,0,Pacífico,Popayán
197,165,2022-08-22,2022-10-21,26784062,0,Pagado,0,Santanderes,Cúcuta
198,60,2023-03-06,2023-04-05,8956116,0,Pagado,0,Caribe,Valledupar
199,33,2022-10-29,2022-11-28,7750908,3786771,En mora,764,Llanos,Villavicencio
200,81,2024-06-20,2024-09-18,7947650,0,Pagado,0,Pacífico,Popayán
201,69,2022-01-17,2022-03-18,10237140,9018570,En mora,1019,Santanderes,Bucaramanga
202,70,2024-03-10,2024-06-08,38629476,0,Pagado,0,Pacífico,Buenaventura
203,197,2022-04-10,2022-05-10,8219755,0,Pagado,0,Santanderes,Barrancabermeja
204,188,2022-06-12,2022-08-11,164254,85301,En mora,873,Caribe,Sincelejo
205,48,2022-02-16,2022-05-17,14502632,13664279,En mora,959,Llanos,Arauca
206,75,2022-08-26,2022-09-25,30818640,0,Pagado,0,Eje Cafetero,Pereira
207,9,2023-02-16,2023-04-17,8176707,0,Pagado,0,Llanos,Villavicencio
208,8,2024-11-23,2025-02-21,17974190,17974190,Vigente,0,Caribe,Sincelejo
209,202,2022-07-06,2022-08-05,188404,186116,En mora,879,Eje Cafetero,Pereira
210,148,2024-03-21,2024-05-20,2744852,2186883,En mora,225,Llanos,Villavicencio
211,145,2022-02-03,2022-05-04,18103878,0,Pagado,0,Eje Cafetero,Manizales
212,167,2022-10-07,2023-01-05,2623958,0,Pagado,0,Caribe,Santa Marta
213,162,2023-04-24,2023-07-23,27180654,20137356,En mora,527,Llanos,Arauca
214,56,2022-09-14,2022-11-13,2418624,0,Pagado,0,Eje Cafetero,Manizales
215,25,2023-11-13,2024-01-12,19442199,0,Pagado,0,Pacífico,Buenaventura
216,85,2024-11-07,2025-01-06,5819236,5819236,Vigente,0,Pacífico,Popayán
217,165,2022-02-20,2022-03-22,282303,225477,En mora,1015,Santanderes,Cúcuta
218,40,2024-06-01,2024-08-30,42088166,0,Pagado,0,Pacífico,Buenaventura
219,186,2024-12-23,2025-01-22,18270280,18270280,Vigente,0,Pacífico,Pasto
220,30,2023-09-17,2023-11-16,17829747,0,Pagado,0,Santanderes,Bucaramanga
221,89,2024-03-08,2024-04-07,23788930,18885110,En mora,268,Santanderes,Bucaramanga
222,45,2023-10-15,2024-01-13,40837300,38306891,En mora,353,Eje Cafetero,Armenia
223,107,2022-07-15,2022-10-13,1480885,0,Pagado,0,Pacífico,Popayán
224,183,2022-09-13,2022-10-13,20119530,15701979,En mora,810,Pacífico,Popayán
225,164,2024-01-27,2024-04-26,13394547,13288665,En mora,249,Llanos,Arauca
226,217,2022-12-22,2023-01-21,1574150,0,Pagado,0,Llanos,Yopal
227,4,2023-12-06,2024-02-04,52978598,0,Pagado,0,Santanderes,Bucaramanga
228,109,2023-08-29,2023-11-27,7355655,0,Pagado,0,Pacífico,Pasto
229,47,2023-06-11,2023-08-10,45232872,38306545,En mora,509,Llanos,Villavicencio
230,170,2024-11-29,2024-12-29,12969912,0,Pagado,0,Santanderes,Bucaramanga
231,100,2023-09-10,2023-12-09,32742226,0,Pagado,0,Eje Cafetero,Manizales
232,191,2022-03-16,2022-05-15,19690814,0,Pagado,0,Santanderes,Cúcuta
233,42,2022-02-04,2022-03-06,8887725,8380657,En mora,1031,Caribe,Barranquilla
234,186,2024-10-08,2024-12-07,7778715,0,Pagado,0,Pacífico,Pasto
235,15,2023-10-22,2024-01-20,28135238,0,Pagado,0,Santanderes,Cúcuta
236,159,2024-07-29,2024-09-27,978806,0,Pagado,0,Caribe,Valledupar
237,58,2022-08-06,2022-11-04,25657676,0,Pagado,0,Caribe,Sincelejo
238,132,2022-03-05,2022-06-03,30712986,23309179,En mora,942,Eje Cafetero,Pereira
239,161,2022-09-15,2022-10-15,56384670,50508869,En mora,808,Pacífico,Popayán
240,132,2023-05-18,2023-07-17,21692818,14598589,En mora,533,Eje Cafetero,Pereira
241,161,2024-05-26,2024-08-24,47147004,40902564,En mora,129,Pacífico,Popayán
242,140,2022-05-06,2022-08-04,51999519,0,Pagado,0,Santanderes,Cúcuta
243,29,2024-04-19,2024-05-19,2391146,1111636,En mora,226,Pacífico,Popayán
244,55,2022-03-12,2022-06-10,27797880,0,Pagado,0,Caribe,Cartagena
245,88,2023-01-14,2023-02-13,13296040,0,Pagado,0,Llanos,Yopal
246,150,2023-09-13,2023-11-12,20091318,0,Pagado,0,Santanderes,Barrancabermeja
247,50,2024-05-12,2024-06-11,21052440,0,Pagado,0,Llanos,Villavicencio
248,58,2024-01-19,2024-03-19,7412352,0,Pagado,0,Caribe,Sincelejo
249,71,2024-02-27,2024-05-27,5925015,0,Pagado,0,Caribe,Santa Marta
250,156,2022-12-26,2023-01-25,34710208,0,Pagado,0,Pacífico,Pasto
251,120,2022-03-06,2022-05-05,765814,632075,En mora,971,Eje Cafetero,Armenia
252,100,2024-09-07,2024-12-06,845070,0,Pagado,0,Eje Cafetero,Manizales
253,52,2024-07-02,2024-09-30,10085148,0,Pagado,0,Eje Cafetero,Pereira
254,193,2023-07-10,2023-09-08,22576560,0,Pagado,0,Llanos,Yopal
255,72,2022-06-05,2022-07-05,23091660,9287947,En mora,910,Eje Cafetero,Pereira
256,106,2023-11-28,2023-12-28,17217987,16995333,En mora,369,Caribe,Cartagena
257,58,2024-09-23,2024-12-22,8220135,0,Pagado,0,Caribe,Sincelejo
258,92,2022-10-29,2023-01-27,8817180,0,Pagado,0,Pacífico,Pasto
259,209,2022-07-09,2022-08-08,1386480,0,Pagado,0,Caribe,Barranquilla
260,81,2023-04-29,2023-07-28,1695414,1135037,En mora,522,Pacífico,Popayán
261,80,2024-07-03,2024-09-01,11132800,0,Pagado,0,Pacífico,Pasto
262,196,2023-02-28,2023-04-29,16484608,9798092,En mora,612,Llanos,Arauca
263,36,2024-12-07,2025-01-06,45326400,45326400,Vigente,0,Llanos,Arauca
264,164,2022-01-06,2022-02-05,4175730,0,Pagado,0,Llanos,Arauca
265,194,2023-05-19,2023-07-18,5473405,0,Pagado,0,Caribe,Valledupar
266,118,2023-12-18,2024-01-17,28287903,0,Pagado,0,Pacífico,Popayán
267,119,2023-06-03,2023-07-03,12622740,0,Pagado,0,Santanderes,Cúcuta
268,48,2024-10-25,2025-01-23,25216656,25216656,Vigente,0,Llanos,Arauca
269,44,2023-07-01,2023-08-30,9342200,4550411,En mora,489,Caribe,Cartagena
270,28,2022-08-19,2022-09-18,32911549,0,Pagado,0,Caribe,Valledupar
271,9,2024-09-10,2024-11-09,3633121,0,Pagado,0,Llanos,Villavicencio
272,161,2024-07-13,2024-08-12,3285080,3106784,En mora,141,Pacífico,Popayán
273,209,2024-04-30,2024-05-30,8222249,0,Pagado,0,Caribe,Barranquilla
274,44,2024-06-14,2024-08-13,1940625,0,Pagado,0,Caribe,Cartagena
275,85,2022-01-06,2022-02-05,31487496,0,Pagado,0,Pacífico,Popayán
276,61,2022-05-30,2022-08-28,12512698,0,Pagado,0,Eje Cafetero,Pereira
277,216,2022-07-21,2022-10-19,1330043,906216,En mora,804,Llanos,Arauca
278,199,2024-07-24,2024-08-23,5523738,0,Pagado,0,Pacífico,Popayán
279,20,2023-12-19,2024-01-18,11275316,0,Pagado,0,Pacífico,Popayán
280,121,2022-10-09,2022-11-08,1246868,0,Pagado,0,Llanos,Villavicencio
281,70,2023-04-03,2023-07-02,2189208,1923816,En mora,548,Pacífico,Buenaventura
282,12,2024-12-31,2025-03-31,1434375,1434375,Vigente,0,Caribe,Sincelejo
283,81,2023-12-18,2024-01-17,21020040,0,Pagado,0,Pacífico,Popayán
284,5,2024-09-16,2024-11-15,16516773,16321668,En mora,46,Pacífico,Popayán
285,82,2023-07-13,2023-08-12,31904726,0,Pagado,0,Santanderes,Barrancabermeja
286,57,2024-12-29,2025-01-28,1161334,1161334,Vigente,0,Eje Cafetero,Manizales
287,108,2023-06-27,2023-09-25,26872440,14053747,En mora,463,Eje Cafetero,Armenia
288,104,2022-11-02,2023-01-31,2462976,0,Pagado,0,Santanderes,Cúcuta
289,146,2024-07-22,2024-09-20,1465730,0,Pagado,0,Santanderes,Bucaramanga
290,134,2022-07-04,2022-08-03,3549498,0,Pagado,0,Pacífico,Buenaventura
291,71,2022-02-19,2022-03-21,10446765,0,Pagado,0,Caribe,Santa Marta
292,69,2024-03-20,2024-05-19,11548005,0,Pagado,0,Santanderes,Bucaramanga
293,84,2024-09-25,2024-10-25,23983209,0,Pagado,0,Pacífico,Pasto
294,102,2023-01-16,2023-02-15,9464801,0,Pagado,0,Santanderes,Bucaramanga
295,68,2024-11-30,2025-02-28,1170372,1170372,Vigente,0,Pacífico,Pasto
296,129,2024-03-19,2024-05-18,15821934,9184030,En mora,227,Pacífico,Pasto
297,7,2022-12-31,2023-03-01,7149240,0,Pagado,0,Eje Cafetero,Pereira
298,196,2023-12-15,2024-03-14,13978980,0,Pagado,0,Llanos,Arauca
299,37,2024-01-20,2024-04-19,175076,0,Pagado,0,Pacífico,Cali
300,61,2023-01-12,2023-04-12,4154631,2864829,En mora,629,Eje Cafetero,Pereira
301,102,2022-10-29,2022-11-28,11276577,0,Pagado,0,Santanderes,Bucaramanga
302,117,2023-03-24,2023-06-22,10135188,0,Pagado,0,Eje Cafetero,Armenia
303,38,2022-11-25,2023-01-24,12035520,0,Pagado,0,Santanderes,Barrancabermeja
304,75,2022-12-12,2023-02-10,35049930,0,Pagado,0,Eje Cafetero,Pereira
305,36,2022-02-08,2022-03-10,8327348,0,Pagado,0,Llanos,Arauca
306,182,2022-08-07,2022-09-06,56554754,32186325,En mora,847,Santanderes,Cúcuta
307,73,2024-03-03,2024-06-01,29534530,0,Pagado,0,Eje Cafetero,Pereira
308,47,2022-10-12,2022-12-11,53451680,0,Pagado,0,Llanos,Villavicencio
309,5,2024-05-31,2024-06-30,17934033,0,Pagado,0,Pacífico,Popayán
310,166,2023-03-12,2023-05-11,1027460,950183,En mora,600,Eje Cafetero,Pereira
311,33,2023-12-29,2024-01-28,37906200,0,Pagado,0,Llanos,Villavicencio
312,82,2024-05-14,2024-06-13,21290868,0,Pagado,0,Santanderes,Barrancabermeja
313,48,2022-01-24,2022-03-25,799431,0,Pagado,0,Llanos,Arauca
314,220,2022-09-20,2022-11-19,1813950,1594516,En mora,773,Santanderes,Cúcuta
315,189,2022-06-23,2022-07-23,4484256,3121549,En mora,892,Eje Cafetero,Manizales
316,194,2022-07-13,2022-10-11,9845600,0,Pagado,0,Caribe,Valledupar
317,166,2023-07-20,2023-08-19,1043636,0,Pagado,0,Eje Cafetero,Pereira
318,194,2024-08-20,2024-09-19,36605740,0,Pagado,0,Caribe,Valledupar
